"seq_number","Site","Bio_repA.x","Bio_repB.x","Bio_repC.x","Bio_repA.y","Bio_repB.y","Bio_repC.y","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_1","Edge",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1","MPA",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1","Outside",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_10","Edge",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_10","MPA",3,3,3,3,3,3,0.997292472278815,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_10","Outside",3,1,2,3,1,2,0.990636308359107,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_101","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_101","MPA",3,1,1,3,1,1,0.994364751683123,""
"merged_fishcard_12S_all_101","Outside",3,3,2,3,3,2,0.994292247228821,""
"merged_fishcard_12S_all_103","Edge",3,2,3,3,2,3,0.996773921943271,""
"merged_fishcard_12S_all_103","Outside",2,3,3,2,3,3,0.996885168275353,""
"merged_fishcard_12S_all_105","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_105","MPA",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_105","Outside",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_108","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_108","MPA",3,NA,1,3,NA,1,0.987455861530081,""
"merged_fishcard_12S_all_108","Outside",3,3,2,3,3,2,0.994292247228821,""
"merged_fishcard_12S_all_109","Edge",3,2,1,3,2,1,0.993158272948884,""
"merged_fishcard_12S_all_109","MPA",2,NA,1,2,NA,1,0.954067009184348,""
"merged_fishcard_12S_all_109","Outside",NA,NA,3,NA,NA,3,0.987619957121005,""
"merged_fishcard_12S_all_111","Edge",NA,2,NA,NA,2,NA,0.924910876775914,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_113","Edge",3,3,3,3,3,3,0.997292472278815,""
"merged_fishcard_12S_all_113","MPA",3,2,2,3,2,2,0.993882714560078,""
"merged_fishcard_12S_all_114","Edge",2,NA,1,2,NA,1,0.954067009184348,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus"
"merged_fishcard_12S_all_114","MPA",NA,NA,2,NA,NA,2,0.92083875248564,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus"
